"전라남도",곡성군,40.5
"전라남도",구례군,39.4
"전라남도",고흥군,45.7
"전라남도",보성군,43.9
"전라남도",화순군,30.9
"전라남도",장흥군,39.1
"전라남도",강진군,39.4
"전라남도",해남군,37.7
"전라남도",영암군,30.4
"전라남도",무안군,21.1
"전라남도",함평군,41.4
"전라남도",영광군,32.0
"전라남도",장성군,34.4
"전라남도",완도군,37.4
"전라남도",진도군,37.7
"전라남도",신안군,40.1
"경상북도",소계,26.0
"경상북도",포항시,22.4
"경상북도",경주시,27.5
"경상북도",김천시,27.6
"경상북도",안동시,28.6
"경상북도",구미시,13.0
"경상북도",영주시,31.9
"경상북도",영천시,33.6
"경상북도",상주시,36.6
"경상북도",문경시,35.8
"경상북도",경산시,20.7
"경상북도",의성군,47.5
"경상북도",청송군,43.7
"경상북도",영양군,43.1
"경상북도",영덕군,43.5
"경상북도",청도군,44.3
"경상북도",고령군,37.9
"경상북도",성주군,38.7
"경상북도",칠곡군,20.3
"경상북도",예천군,33.4
"경상북도",봉화군,43.6
"경상북도",울진군,32.4
"경상북도",울릉군,30.1
"경상남도",소계,21.8
"경상남도",진주시,20.7
"경상남도",통영시,25.5
"경상남도",사천시,25.9
"경상남도",김해시,15.1
"경상남도",밀양시,34.8
"경상남도",거제시,15.6
"경상남도",양산시,17.8
"경상남도",창원시,19.2
"경상남도",의령군,42.4
"경상남도",함안군,31.6
"경상남도",창녕군,38.1
"경상남도",고성군,37.2
"경상남도",남해군,42.8
"경상남도",하동군,41.3
"경상남도",산청군,42.5
"경상남도",함양군,39.3
"경상남도",거창군,32.2
"경상남도",합천군,45.3
"제주특별자치도",소계,18.9
"제주특별자치도",제주시,17.5
"제주특별자치도",서귀포시,22.9
