"성주군",-
"칠곡군",-
"예천군",-
"봉화군",-
"울진군",-
"울릉군",-
"의성군",1.182
"청송군",1.347
"영양군",0.634
"영덕군",0.943
"청도군",0.866
"고령군",0.969
"성주군",1.170
"칠곡군",0.632
"예천군",1.216
"봉화군",0.780
"울진군",1.124
"울릉군",1.075
"경상남도",0.820
"창원시",-
"마산시",-
"합포구",-
"회원구",-
"진주시",0.912
"진해시",-
"통영시",0.729
"사천시",0.946
"김해시",0.799
"밀양시",0.806
"거제시",0.789
"양산시",0.840
"창원시",0.795
"의창구",0.796
"성산구",0.750
"마산합포구",0.827
"마산회원구",0.701
"진해구",0.930
"의령군",-
"함안군",-
"창녕군",-
"고성군",-
"남해군",-
"하동군",-
"산청군",-
"함양군",-
"거창군",-
"합천군",-
"의령군",0.975
"함안군",0.640
"창녕군",0.905
"고성군",0.634
"남해군",0.747
"하동군",0.779
"산청군",0.731
"함양군",0.586
"거창군",1.205
"합천군",0.887
"제주특별자치도",0.826
"제주시",0.838
"서귀포시",0.781
"북제주군",-
"남제주군",-
